MaritalStatus,age,edu_status,jznx,sqjkqx,xykpjsy6m,num_card,lsyq,zsjll,zsmll,cshk,sxze,wdhj,bdfc,yqsj,yjfzhke,zwze,kzpsr,yjsr,dizhi,zhiye,yhls,susong,spsxed,yq
离异,t,专科,h,4,0,0,no,0,0,0.5,0,否,否,0,0,0,1.4,2,y,y,0.182321557,否,4,1
已婚,m,UN,0,2,2.26896626,4,no,0,0,0,2.587764035,UN,是,0,6.78,4.721173862,0.451,10.33,n,y,3.617033644,否,19,0
已婚,t,大专,m,3,0.828988403,13,no,0.5,0.6,3,1.098612289,是,是,0,1.396,3.899950424,0.319,2.45,y,y,2.772588722,否,3,0
已婚,m,高中,m,4,0,2,no,0,0,0,0.78845736,是,是,0,0,0.587786665,0.31,0.45,y,y,0.371563556,否,3,0
已婚,e,专科,h,3,0.744932854,4,no,0,0,0,1.791759469,否,是,0,0,1.131402111,0.35,0.5,y,y,0.41177847,否,4,0
未婚,e,高中,h,2,0,0,no,0,0,0,0,否,是,0,0,0.182321557,1.1,3.6,UN,y,0.262364264,否,3,0
已婚,m,高中,h,2,0.477041307,2,has,0.05,0.1,2,0.875468737,否,否,1,0.24,2.208274414,1.35,2.275,UN,UN,4.781641329,否,10,1
已婚,t,本科,h,2,1.181941896,12,has,0.25,0.35,5,1.252762968,是,否,1,2.02,3.186352633,2.65,6.68,y,UN,4.234106505,是,7,1
已婚,m,初中,h,3,0,0,no,0,0,0,0,否,是,0,0,0,0.25,0.37,y,y,0.338755343,否,4,0
已婚,m,UN,m,3,0.151088854,4,no,0.1,0.25,4,1.098612289,是,是,0,0.32,3.353406718,2.9,4.67,y,y,3.401197382,否,15,0
离异,m,本科,l,4,1.314556655,8,has,0,0,0.5,2.608664394,否,是,1,0,1.667706821,0.7,1,y,y,3.100092289,否,5,0
未婚,y,本科,h,4,1.197189852,4,no,0,0,1,1.504077397,否,否,0,0,1.435084525,0.25,0.6,y,y,0.693147181,否,3,0
已婚,t,本科,m,4,0.644529252,2,no,0.15,0,1.8,0.652325186,否,否,0,0.87,2.251291799,0.376,1.78,UN,y,3.617033644,否,6,1
